Hallway Type,Time To Subway St.,Subway Station,No. Facilities Nearby,No. Public Offices Nearby,No. Universities Nearby,No. Parking Lots,Year Built,No. Facilities Inside,Unit Area (sqft),Sale Price (KRW)
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1366,392743
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,636,212389
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,247787
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1313,170796
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1690,460176
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,1451,218584
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,274336
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1437,424778
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1796,254867
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,910,376991
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,914,354867
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,1288,176991
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,265486
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,134513
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1103,209734
Mixed,15 min - 20 min,Chilsung,1,7,3,56,1997,5,644,78761
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,910,361061
Terraced,0 - 5 min,Banwoldang,0,0,0,203,2014,10,914,379646
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,194690
Mixed,15 min - 20 min,Chilsung,1,7,3,56,1997,5,644,136283
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,178761
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,113274
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,161504
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1394,248672
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,1192,300442
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,255752
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,636,237168
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1334,348672
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,640,132743
Corridor,5 min - 10 min,Sinnam,1,5,2,18,1986,3,910,156637
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1366,221238
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,910,269026
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1419,238938
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,238938
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,190265
Corridor,0 - 5 min,Kyungbuk,0,3,2,0,1978,3,903,174336
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,243362
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,80530
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,276991
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1366,353982
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,261946
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,811,192035
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,846,331858
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,211504
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1387,495575
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1437,258407
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,907,317699
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1313,285398
Mixed,15 min - 20 min,Chilsung,1,7,3,56,1997,5,644,82300
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1131,274336
Corridor,No Stations Nearby,No Stations Nearby,1,4,1,218,2014,1,135,57522
Corridor,5 min - 10 min,Sinnam,1,5,2,18,1986,3,451,65929
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,263716
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,910,382300
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1366,247787
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,857,252212
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,1167,247787
Corridor,0 - 5 min,Kyungbuk,0,3,2,0,1978,3,779,168141
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,910,300884
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,914,231858
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,278761
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,640,85840
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1928,351247
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,190265
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,2056,458407
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,914,107522
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,426,107964
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,914,176991
Corridor,5 min - 10 min,Daegu,2,5,0,76,1985,3,587,128318
Corridor,0 - 5 min,Kyungbuk,0,3,2,0,1978,3,903,123893
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1387,284955
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,99557
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1366,409734
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,131415
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,910,255840
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,910,333628
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,355,38584
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,910,238938
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,843,203539
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,196460
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1643,322566
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,234513
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,226991
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1377,353982
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,133628
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1131,273451
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,234513
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1928,388690
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,1160,230088
Corridor,No Stations Nearby,No Stations Nearby,1,4,1,218,2014,1,156,62831
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,166371
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,1035,484070
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,907,342477
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1273,323008
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,296460
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,576,58849
Mixed,15 min - 20 min,Chilsung,1,7,3,56,1997,5,430,53982
Corridor,0 - 5 min,Kyungbuk,0,3,2,0,1978,3,779,141592
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,1761,373451
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1103,215929
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,292035
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,1035,389380
Mixed,15 min - 20 min,Chilsung,1,7,3,56,1997,5,914,129203
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,117699
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,910,188938
Corridor,5 min - 10 min,Daegu,2,5,0,76,1985,3,587,88495
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1743,238938
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,191150
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,124778
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1448,323982
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,100000
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,814,170353
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,211946
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1419,264601
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,818,207079
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,153539
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,910,379646
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,576,55752
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,259292
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,223893
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,123893
Terraced,0 - 5 min,Banwoldang,0,0,0,203,2014,10,914,342477
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,314159
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1519,336283
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,155584
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,194690
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1629,407079
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,148672
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,914,216814
Terraced,0 - 5 min,Banwoldang,0,0,0,203,2014,10,914,265486
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,251327
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,1167,215044
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,262831
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,644,298230
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,155752
Corridor,5 min - 10 min,Banwoldang,0,3,2,108,2014,2,288,100000
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,910,194247
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,857,154690
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,907,334513
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1690,384955
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,300000
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1519,367256
Corridor,5 min - 10 min,Daegu,2,5,0,76,1985,3,587,59734
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,167256
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,84513
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,175663
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,148230
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,910,153097
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1643,371681
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,207079
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1334,368672
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,2056,477876
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,235398
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,576,79203
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1928,369628
Terraced,5 min - 10 min,Daegu,0,3,2,400,2015,7,644,300884
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,223008
Mixed,15 min - 20 min,Chilsung,1,7,3,56,1997,5,914,128318
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,644,263716
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,644,140707
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,243362
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,223893
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,843,331858
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1103,223893
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,644,81858
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1387,429203
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1419,233628
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,175663
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,910,144115
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1377,219469
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,216814
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,243362
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,914,151769
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1643,403336
Mixed,15 min - 20 min,Chilsung,1,7,3,56,1997,5,430,55752
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,846,329203
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1273,377876
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1444,318584
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,636,132743
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,910,197601
Terraced,0 - 5 min,Banwoldang,0,0,0,203,2014,10,914,366371
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,252212
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1394,246902
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1483,415929
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,910,157522
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1131,155752
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,291150
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,914,340707
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1437,293805
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1643,338938
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,170796
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,843,321681
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,238938
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,644,103097
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,576,110619
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1131,176991
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1366,318584
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,300884
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1387,386725
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,253982
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1103,232212
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,349557
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1796,247787
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,910,383185
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,1184,232743
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,636,139823
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,910,247787
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,170796
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,818,192920
Corridor,5 min - 10 min,Daegu,2,5,0,76,1985,3,498,54867
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,576,106194
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1743,377876
Corridor,5 min - 10 min,Banwoldang,0,3,2,108,2014,2,213,81415
Corridor,5 min - 10 min,Sinnam,1,5,2,18,1986,3,547,55752
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,212389
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1394,273451
Corridor,5 min - 10 min,Sinnam,1,5,2,18,1986,3,547,119469
Corridor,No Stations Nearby,No Stations Nearby,1,4,1,218,2014,1,135,53097
Corridor,5 min - 10 min,Banwoldang,0,3,2,108,2014,2,288,98407
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,814,150442
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,1160,243362
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1394,374336
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,644,291150
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1643,477876
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,291150
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,914,220353
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,644,276106
Corridor,0 - 5 min,Kyungbuk,0,3,2,0,1978,3,903,137610
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,1451,194690
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1437,349557
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1412,364601
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,2056,318584
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,178761
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,283185
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1377,203539
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,203539
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,206194
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1313,211504
Terraced,0 - 5 min,Banwoldang,0,0,0,203,2014,10,914,344247
Mixed,15 min - 20 min,Chilsung,1,7,3,56,2003,5,907,171681
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,743,130973
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1643,433778
Corridor,5 min - 10 min,Daegu,2,5,0,76,1985,3,676,110619
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,315044
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,216814
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,261061
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1743,420353
Corridor,5 min - 10 min,Daegu,2,5,0,76,1985,3,587,134513
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1394,286283
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,196460
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,914,406194
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,1761,374336
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,640,268141
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1387,442477
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,267256
Corridor,5 min - 10 min,Sinnam,1,5,2,18,1986,3,508,48672
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,137168
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,355,46902
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1394,234513
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1387,314690
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,180088
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,914,204424
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,1448,134513
Corridor,No Stations Nearby,No Stations Nearby,1,4,1,218,2014,1,192,74336
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1643,491150
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1483,362831
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1743,327433
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1643,336283
Corridor,5 min - 10 min,Daegu,2,5,0,76,1985,3,587,129203
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1643,356778
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1796,238938
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,254867
Terraced,5 min - 10 min,Daegu,0,3,2,400,2015,7,839,336283
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,914,242477
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,914,166814
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1149,267256
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,250442
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,228318
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,232743
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,576,111061
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1149,389380
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,1761,292035
Terraced,0 - 5 min,Banwoldang,0,0,0,203,2014,10,914,226725
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,159292
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,644,273451
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1149,352212
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,811,185840
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,2056,407964
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1273,276548
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,857,245132
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,179646
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,914,193362
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1483,316814
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,228318
Corridor,0 - 5 min,Kyungbuk,0,3,2,0,1978,3,903,221238
Corridor,5 min - 10 min,Sinnam,1,5,2,18,1986,3,508,87610
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,910,283185
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,910,329646
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,576,131858
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,644,158849
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,355,38495
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,241150
Mixed,15 min - 20 min,Chilsung,1,7,3,56,1997,5,644,162831
Terraced,0 - 5 min,Myungduk,5,7,5,1174,2014,9,846,322123
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,303539
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,914,231858
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1334,294690
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1743,256637
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,914,340707
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,218584
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1149,358407
Mixed,15 min - 20 min,Chilsung,1,7,3,56,1997,5,644,95575
Terraced,10 min - 15 min,Kyungbuk,1,5,1,0,1986,4,1313,278761
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1743,284955
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,829,157522
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,640,146017
Terraced,No Stations Nearby,No Stations Nearby,2,2,1,203,2009,5,1160,361061
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,576,65044
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,640,61061
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,910,349557
Mixed,15 min - 20 min,Chilsung,1,7,3,56,1997,5,644,76991
Terraced,0 - 5 min,Kyungbuk,0,5,3,930,2013,7,910,357964
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1643,429203
Mixed,15 min - 20 min,Chilsung,1,7,3,56,2003,5,907,119469
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,857,203539
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1483,405309
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,572,72654
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,224778
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,355,41061
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,644,119469
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,1035,442477
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,903,202654
Mixed,15 min - 20 min,Myungduk,5,6,5,536,1993,4,644,199115
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,914,149557
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,644,101769
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,644,86725
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,868,339823
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1928,386469
Terraced,No Stations Nearby,No Stations Nearby,0,1,1,1321,2015,10,910,336283
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1643,320353
Corridor,No Stations Nearby,No Stations Nearby,1,4,1,218,2014,1,160,57522
Terraced,0 - 5 min,Banwoldang,0,2,2,524,2007,4,1394,245575
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,1167,238938
Terraced,0 - 5 min,Sinnam,0,3,2,475,2008,8,1167,230088
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,910,177433
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,355,55752
Corridor,10 min - 15 min,Myungduk,5,7,5,0,1992,3,576,116814
Corridor,5 min - 10 min,Daegu,2,5,0,76,1985,3,498,73451
Mixed,15 min - 20 min,Myungduk,1,5,4,79,1992,3,644,153982
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1483,373451
Terraced,0 - 5 min,Sinnam,0,1,2,536,2006,5,1149,234513
Terraced,10 min - 15 min,Kyungbuk,1,2,2,184,2006,5,636,143805
Terraced,0 - 5 min,Banwoldang,0,4,1,605,2007,5,1483,407079
Corridor,0 - 5 min,Kyungbuk,0,3,2,0,1978,3,871,104424
Terraced,0 - 5 min,Myungduk,2,3,1,181,2006,4,857,150442
Terraced,0 - 5 min,Kyungbuk,0,3,2,1270,2007,10,1387,361061
Mixed,5 min - 10 min,Bangoge,5,5,4,798,2005,7,914,230088
